pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
316.09402800000043,14H 53M 44S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53624,Wed,Mar,03,2021,44,87,57,534,62,52,56,541,ECOV2-B00206,1013,58,50,29465,58,109,53,29451,109,56,50,28788,56,328,70,29578,NA,NA,03 Mar 2021
316.7745320000004,14H 53M 45S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53625,Wed,Mar,03,2021,46,86,56,534,59,48,54,541,ECOV2-B00206,1014,59,51,29461,59,106,53,29451,106,53,50,28779,53,330,71,29581,330,13.83,03 Mar 2021
317.38213000000036,14H 53M 46S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,Wed,Mar,03,2021,45,87,57,534,57,45,50,541,ECOV2-B00206,1015,59,50,29465,59,107,54,29451,107,56,50,28777,56,330,70,29586,330,13.84,03 Mar 2021
317.7881320000002,14H 53M 47S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53627,Wed,Mar,03,2021,46,91,57,534,60,49,53,541,ECOV2-B00206,1016,59,50,29470,59,106,53,29452,106,53,50,28771,53,329,70,29582,329,13.83,03 Mar 2021
318.22392800000034,14H 53M 48S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53628,Wed,Mar,03,2021,44,86,56,534,59,50,51,541,ECOV2-B00206,1017,59,50,29466,59,103,53,29462,103,52,51,28783,52,329,70,29585,329,13.83,03 Mar 2021
319.67292700000047,14H 54M -10S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53630,Wed,Mar,03,2021,49,85,57,534,62,50,51,541,ECOV2-B00206,1019,57,50,29462,57,107,53,29453,107,54,50,28774,54,329,69,29583,329,13.83,03 Mar 2021
320.2927180000004,14H 54M -9S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53631,Wed,Mar,03,2021,49,91,56,534,58,50,54,541,ECOV2-B00206,1020,60,50,29463,60,104,53,29453,104,56,50,28770,56,329,70,29577,329,13.84,03 Mar 2021
320.84342400000037,14H 54M -8S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53632,Wed,Mar,03,2021,43,86,57,534,58,49,52,541,ECOV2-B00206,1021,58,50,29456,58,104,52,29453,104,54,50,28777,54,329,70,29571,329,13.83,03 Mar 2021
321.32750900000025,14H 54M -7S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53633,Wed,Mar,03,2021,47,85,57,534,60,50,53,541,ECOV2-B00206,1022,60,50,29458,60,112,53,29456,112,55,50,28768,55,329,71,29582,329,13.83,03 Mar 2021
321.8372640000004,14H 54M -6S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53634,Wed,Mar,03,2021,48,86,57,534,62,50,50,541,ECOV2-B00206,1023,58,50,29459,58,112,53,29443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
