pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
89.70004399999921,9H 6M 28S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32788,Fri,Apr,09,2021,50,96,56,534,53,50,57,ECOV2-B00206,246,35,49,29341,35,90,52,29373,90,33,49,28585,33,258,65,29491,258,13.79,09 Apr 2021
88.66306599999946,9H 6M 29S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32789,Fri,Apr,09,2021,51,96,56,534,59,53,54,ECOV2-B00206,247,40,49,29355,40,94,52,29374,94,38,47,28578,38,269,67,29487,269,13.79,09 Apr 2021
87.86637599999953,9H 6M 30S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32790,Fri,Apr,09,2021,55,95,56,534,57,54,53,ECOV2-B00206,248,46,49,29345,46,104,53,29377,104,42,49,28589,42,271,66,29491,271,13.79,09 Apr 2021
85.84320399999918,9H 6M 32S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32792,Fri,Apr,09,2021,53,97,56,534,58,54,52,ECOV2-B00206,250,48,49,29344,48,98,53,29374,98,47,49,28586,47,267,66,29498,267,13.8,09 Apr 2021
84.53802799999914,9H 6M 33S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32793,Fri,Apr,09,2021,52,100,56,534,55,52,52,ECOV2-B00206,251,47,49,29332,47,99,52,29373,99,45,49,28582,45,263,66,29498,263,13.8,09 Apr 2021
83.46340199999946,9H 6M 34S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32794,Fri,Apr,09,2021,54,97,57,534,60,55,52,ECOV2-B00206,252,46,50,29329,46,96,53,29373,96,47,49,28576,47,263,66,29475,263,13.8,09 Apr 2021
82.7316859999996,9H 6M 35S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32795,Fri,Apr,09,2021,53,100,56,534,61,55,52,ECOV2-B00206,253,51,49,29338,51,98,52,29375,98,47,49,28571,47,263,66,29491,263,13.78,09 Apr 2021
81.9455539999994,9H 6M 36S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32796,Fri,Apr,09,2021,54,98,57,534,57,54,55,ECOV2-B00206,254,49,50,29336,49,98,52,29373,98,46,50,28569,46,262,65,29484,262,13.8,09 Apr 2021
80.9262949999993,9H 6M 37S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32797,Fri,Apr,09,2021,56,98,57,534,54,57,54,ECOV2-B00206,255,49,50,29342,49,99,54,29369,99,44,49,28567,44,263,65,29487,263,13.79,09 Apr 2021
80.03803099999956,9H 6M 38S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32798,Fri,Apr,09,2021,57,99,56,534,NA,NA,NA,ECOV2-B00206,256,44,50,29339,44,93,52,29367,93,40,49,28572,40,254,65,29483,254,13.8,09 Apr 2021
80.03803099999956,9H 6M 38S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32798,Fri,Apr,09,2021,57,99,56,534,NA,NA,NA,ECOV2-B00206,257,48,49,29339,48,100,52,29376,100,50,50,28583,50,252,65,29482,252,13.8,09 Apr 2021
79.39383699999962,9H 6M 39S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32799,Fri,Apr,09,2021,56,148,56,534,55,58,54,ECOV2-B00206,258,63,51,29333,63,110,53,29379,110,59,50,28577,59,290,66,29483,290,13.81,09 Apr 2021
78.54075699999932,9H 6M 40S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32800,Fri,Apr,09,2021,55,95,56,534,52,58,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
