pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
375.524,11H 45M 46S,NA,NA,NA,NA,NA,42346,Fri,Jun,11,2021,43,88,57,533,60,48,52,11 Jun 2021
374.987,11H 45M 47S,NA,NA,NA,NA,NA,42347,Fri,Jun,11,2021,46,88,57,532,63,50,49,11 Jun 2021
373.985,11H 45M 49S,NA,NA,NA,NA,NA,42349,Fri,Jun,11,2021,45,84,57,533,61,48,50,11 Jun 2021
373.569,11H 45M 50S,NA,NA,NA,NA,NA,42350,Fri,Jun,11,2021,47,87,57,533,62,50,50,11 Jun 2021
372.202,11H 45M 52S,NA,NA,NA,NA,NA,42352,Fri,Jun,11,2021,47,86,55,533,61,52,52,11 Jun 2021
371.592,11H 45M 53S,NA,NA,NA,NA,NA,42353,Fri,Jun,11,2021,47,88,56,533,61,50,53,11 Jun 2021
371.031,11H 45M 54S,NA,NA,NA,NA,NA,42354,Fri,Jun,11,2021,46,89,56,533,63,45,53,11 Jun 2021
370.535,11H 45M 55S,NA,NA,NA,NA,NA,42355,Fri,Jun,11,2021,46,84,56,533,60,47,53,11 Jun 2021
369.891,11H 45M 56S,NA,NA,NA,NA,NA,42356,Fri,Jun,11,2021,44,87,57,533,58,47,52,11 Jun 2021
368.615,11H 45M 58S,NA,NA,NA,NA,NA,42358,Fri,Jun,11,2021,46,93,57,533,59,51,54,11 Jun 2021
368.152,11H 45M 59S,NA,NA,NA,NA,NA,42359,Fri,Jun,11,2021,48,88,56,533,64,50,50,11 Jun 2021
367.445,11H 46M 0S,NA,NA,NA,NA,NA,42360,Fri,Jun,11,2021,48,85,56,532,57,46,53,11 Jun 2021
366.697,11H 46M 1S,NA,NA,NA,NA,NA,42361,Fri,Jun,11,2021,46,86,55,533,60,50,55,11 Jun 2021
366.201,11H 46M 2S,NA,NA,NA,NA,NA,42362,Fri,Jun,11,2021,47,84,57,532,58,49,51,11 Jun 2021
365.74,11H 46M 3S,NA,NA,NA,NA,NA,42363,Fri,Jun,11,2021,46,88,57,533,60,53,49,11 Jun 2021
365.001,11H 46M 4S,NA,NA,NA,NA,NA,42364,Fri,Jun,11,2021,46,93,57,533,66,52,49,11 Jun 2021
363.758,11H 46M 6S,NA,NA,NA,NA,NA,42366,Fri,Jun,11,2021,47,91,56,533,60,47,56,11 Jun 2021
362.55,11H 46M 8S,NA,NA,NA,NA,NA,42368,Fri,Jun,11,2021,46,87,56,533,55,46,58,11 Jun 2021
361.83,11H 46M 9S,NA,NA,NA,NA,NA,42369,Fri,Jun,11,2021,46,85,56,533,56,49,55,11 Jun 2021
360.8,11H 46M 11S,NA,NA,NA,NA,NA,42371,Fri,Jun,11,2021,48,91,56,533,65,50,50,11 Jun 2021
360.148,11H 46M 12S,NA,NA,NA,NA,NA,42372,Fri,Jun,11,2021,47,84,55,533,62,50,56,11 Jun 2021
359.504,11H 46M 13S,NA,NA,NA,NA,NA,42373,Fri,Jun,11,2021,45,86,57,533,57,50,57,11 Jun 2021
358.907,11H 46M 14S,NA,NA,NA,NA,NA,42374,Fri,Jun,11,2021,45,96,56,533,60,51,51,11 Jun 2021
357.777,11H 46M 16S,NA,NA,NA,NA,NA,42376,Fri,Jun,11,2021,49,89,57,533,64,50,56,11 Jun 2021
357.144,11H 46M 17S,NA,NA,NA,NA,NA,42377,Fri,Jun,11,2021,50,87,56,533,64,52,55,11 Jun 2021
356.531,11H 46M 18S,NA,NA,NA,NA,NA,42378,Fri,Jun,11,2021,46,88,56,533,62,52,56,11 Jun 2021
355.979,11H 46M 19S,NA,NA,NA,NA,NA,42379,Fri,Jun,11,2021,45,88,56,533,60,49,53,11 Jun 2021
355.445,11H 46M 20S,NA,NA,NA,NA,NA,42380,Fri,Jun,11,2021,44,89,56,533,60,47,51,11 Jun 2021
354.751,11H 46M 21S,NA,NA,NA,NA,NA,42381,Fri,Jun,11,2021,46,92,56,533,60,45,50,11 Jun 2021
354.067,11H 46M 22S,NA,NA,NA,NA,NA,42382,Fri,Jun,11,2021,46,90,NA,NA,61,45,50,11 Jun 2021
352.381,11H 46M 25S,NA,NA,NA,NA,NA,42385,Fri,Jun,11,2021,46,86,56,533,57,42,50,11 Jun 2021
351.713,11H 46M 26S,NA,NA,NA,NA,NA,42386,Fri,Jun,11,2021,41,83,56,533,58,44,49,11 Jun 2021
351.048,11H 46M 27S,NA,NA,NA,NA,NA,42387,Fri,Jun,11,2021,44,87,56,533,63,50,55,11 Jun 2021
350.52,11H 46M 28S,NA,NA,NA,NA,NA,42388,Fri,Jun,11,2021,43,85,56,533,57,47,50,11 Jun 2021
349.931,11H 46M 29S,NA,NA,NA,NA,NA,42389,Fri,Jun,11,2021,48,89,57,533,61,45,50,11 Jun 2021
349.26,11H 46M 30S,NA,NA,NA,NA,NA,42390,Fri,Jun,11,2021,49,90,57,533,62,50,55,11 Jun 2021
348.692,11H 46M 31S,NA,NA,NA,NA,NA,42391,Fri,Jun,11,2021,49,89,56,533,63,53,55,11 Jun 2021
348.176,11H 46M 32S,NA,NA,NA,NA,NA,42392,Fri,Jun,11,2021,43,87,55,533,55,48,51,11 Jun 2021
346.887,11H 46M 34S,NA,NA,NA,NA,NA,42394,Fri,Jun,11,2021,45,86,56,533,61,47,53,11 Jun 2021
346.238,11H 46M 35S,NA,NA,NA,NA,NA,42395,Fri,Jun,11,2021,46,88,57,533,59,49,54,11 Jun 2021
345.746,11H 46M 36S,NA,NA,NA,NA,NA,42396,Fri,Jun,11,2021,47,90,57,533,62,49,53,11 Jun 2021
345.246,11H 46M 37S,NA,NA,NA,NA,NA,42397,Fri,Jun,11,2021,49,89,57,533,65,50,52,11 Jun 2021
344.636,11H 46M 38S,NA,NA,NA,NA,NA,42398,Fri,Jun,11,2021,48,90,57,533,64,51,51,11 Jun 2021
343.331,11H 46M 40S,NA,NA,NA,NA,NA,42400,Fri,Jun,11,2021,50,86,56,533,61,53,54,11 Jun 2021
