strain,replicate,sampling_date,time,chla_conc_spectro,dilution,440nm_max,470nm_max,532nm_max,440nm_mean,470nm_mean,532nm_mean,numb_events,dilution_cyto,facteur dilution,flow_rate(µL/min),number_cells,filtered_volume,diameter,replicate_number,gain,F0,Fmd,Fm,Fv/Fm,f0_440,f0_480,f0_540,f0_590,f0_625,cruise_or_project,sample_code,culture,filtered_vol_l,chlorophyll_c3,chlc3_qa,mg_dvp,mg_dvp_qa,chlorophyll_c1_c2_mg_dvp,chlc2_qa,sum_chlorophyllid_a,chlda_qa,peridinin,peri_qa,sum_phaeophorbid_a,phda_qa,x19_butanoyloxyfucoxanthin,but_qa,fucoxanthin,fuco_qa,diadinoxanthin,diadino_qa,diatoxanthin,diato_qa,zeaxanthin,zea_qa,bacteriochlorophyll_a,bchla_qa,divinyl_chlorophyll_b,dv_chlb_qa,chlorophyll_b,chlb_qa,t_chlb,t_chlb_qa,divinyl_chlorophyll_a,dv_chla_qa,chlorophyll_a,chla_qa,total_chlorophyll_a,tchla_qa,sum_phaeophytin_a,phytna_qa,a_carotene,a_car_qa,b_carotene,b_car_qa,sum_carotenes,tcar_qa
RCC2379,D,2020-11-04T00:00:00Z,1899-12-31T16:20:00Z,0.04788427572427573,4,NA,NA,NA,NA,NA,NA,1015,"NA",1,47.5,21368.42105263158,NA,NA,NA,18,954,975,935,-0.020320855614973262,550,415,954,1401,1293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,D,2020-11-04T00:00:00Z,1899-12-31T16:35:00Z,0.02395410294852574,5,125,65,68,102.319277108433,61.0481927710843,63.7831325301204,454,"NA",1,47.5,9557.894736842105,NA,NA,NA,18,953,969,951,-0.002103049421661409,547,417,953,1396,1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2374,A,2020-10-30T00:00:00Z,1899-12-31T12:47:00Z,72.13,Cmere,NA,NA,NA,NA,NA,NA,16064,0.01,100,28.666666666666668,56037209.302325584,NA,NA,NA,13,1413,"NA",4094,0.6548607718612603,383,533,1413,390,342,MANIP_EFFICACY_FPETIT2020,RCC2374_A_DM,Synechococcus sp.,0.011,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2.5542,1,0,1,0,1,42.9906,1,0,1,0,1,0,1,0,1,0,1,94.4958,1,94.4958,1,0,1,0,1,8.7181,1,8.7181,1
RCC2374,A,2020-10-30T00:00:00Z,1899-12-31T12:47:00Z,5.0497664,1,157,254,167,150.755952380952,247.857142857142,160.875,11514,0.1,10,28.666666666666668,4016511.6279069763,NA,NA,NA,17,1106,"NA",2088,0.4703065134099617,480,454,1106,984,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2374,A,2020-10-30T00:00:00Z,1899-12-31T13:00:00Z,1.0820928,2,92,109,99,87.3475609756097,104.353658536585,93.7743902439024,23412,"NA",1,28.666666666666668,816697.6744186046,NA,NA,NA,18,1079,"NA",1412,0.2358356940509915,569,462,1079,1376,1261,MANIP_EFFICACY_FPETIT2020,RCC2374_A_DX,Synechococcus sp.,0.99503,0,1,0,1,0,1,0.0094,1,0,1,0,1,0,1,0,1,0,1,0,1,0.6749,1,0,1,0,1,0,1,0,1,0,1,1.3681,1,1.3775,1,0.0127,1,0,1,0.1321,1,0.1321,1
RCC2374,A,2020-10-30T00:00:00Z,1899-12-31T13:19:00Z,0.3606976,3,81,78,77,75.789156626506,74.1325301204819,72.2590361445783,8643,"NA",1,28.666666666666668,301500,NA,NA,NA,18,1000,"NA",1096,0.08759124087591241,565,431,1000,1387,1255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2374,A,2020-10-30T00:00:00Z,1899-12-31T13:35:00Z,0.07206745254745255,4,100,64,64,94.7232704402515,59.5723270440251,58.9748427672956,1645,"NA",1,28.666666666666668,57383.72093023256,NA,NA,NA,18,957,"NA",981,0.024464831804281346,550,423,957,1387,1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2374,A,2020-10-30T00:00:00Z,1899-12-31T13:47:00Z,0.036051734132933534,5,76,64,67,71.6139240506329,59.6898734177215,62.7278481012658,875,"NA",1,28.666666666666668,30523.255813953485,NA,NA,NA,18,956,"NA",946,-0.010570824524312896,562,421,956,1380,1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2374,B,2020-10-31T00:00:00Z,1899-12-31T20:50:00Z,33.84,Cmere,NA,NA,NA,NA,NA,NA,8120,0.01,100,28.666666666666668,28325581.395348836,NA,NA,NA,14,1046,"NA",2793,0.6254923021840315,319,407,1046,401,360,MANIP_EFFICACY_FPETIT2020,RCC2374_B_DM,Synechococcus sp.,0.03,0,1,0,1,0.283,1,0,1,0,1,0,1,0,1,0.1709,1,0,1,0,1,19.5075,1,0,1,0,1,0,1,0,1,0,1,41.2075,1,41.2075,1,0,1,0,1,3.633,1,3.633,1
RCC2374,B,2020-10-31T00:00:00Z,1899-12-31T20:50:00Z,5.077056000000002,1,154,237,162,148.874251497005,229.610778443113,157.754491017964,11829,0.1,10,28.666666666666668,4126395.348837209,NA,NA,NA,17,1188,"NA",2107,0.4361651637399146,543,497,1188,1099,942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2374,B,2020-10-31T00:00:00Z,1899-12-31T21:01:00Z,1.0154112000000002,2,94,103,95,89.2467532467532,98.2532467532467,88.5064935064935,23414,"NA",1,28.666666666666668,816767.4418604651,NA,NA,NA,18,1086,"NA",1326,0.18099547511312217,578,456,1086,1418,1258,MANIP_EFFICACY_FPETIT2020,RCC2374_B_D2,Synechococcus sp.,0.99503,0,1,0,1,0.0099,1,0.0119,1,0.0095,1,0,1,0,1,0,1,0,1,0,1,0.5761,1,0,1,0,1,0,1,0,1,0,1,1.2137,1,1.2255,1,0,1,0,1,0.1087,1,0.1087,1
