pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
78.0013420000002,13H 37M 15S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49035,Wed,Mar,03,2021,162,169,56,534,121,153,58,540,ECOV2-B00206,573,231,65,29860,231,218,64,29728,218,233,65,29397,233,300,68,29978,300,13.82,03 Mar 2021
78.44140700000035,13H 37M 16S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49036,Wed,Mar,03,2021,163,173,56,534,130,147,58,540,ECOV2-B00206,574,232,65,29868,232,228,65,29723,228,241,66,29376,241,301,67,29986,301,13.83,03 Mar 2021
79.08655700000045,13H 37M 17S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49037,Wed,Mar,03,2021,161,177,57,534,122,153,58,540,ECOV2-B00206,575,241,65,29857,241,218,64,29726,218,246,66,29388,246,303,67,29974,303,13.82,03 Mar 2021
79.79001100000045,13H 37M 18S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49038,Wed,Mar,03,2021,202,193,55,534,121,153,63,540,ECOV2-B00206,576,244,66,29857,244,232,65,29725,232,239,66,29383,239,301,67,29964,301,13.82,03 Mar 2021
80.42734800000038,13H 37M 19S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49039,Wed,Mar,03,2021,149,183,56,534,125,157,62,540,ECOV2-B00206,577,225,65,29851,225,218,65,29722,218,239,67,29377,239,302,67,29967,302,13.82,03 Mar 2021
80.98044100000034,13H 37M 20S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49040,Wed,Mar,03,2021,153,185,56,534,115,150,60,540,ECOV2-B00206,578,234,65,29852,234,258,68,29727,258,232,65,29377,232,301,67,29970,301,13.82,03 Mar 2021
82.1235410000004,13H 37M 22S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49042,Wed,Mar,03,2021,154,188,56,534,120,166,60,540,ECOV2-B00206,580,251,67,29853,251,226,65,29726,226,280,69,29370,280,302,67,29970,302,13.82,03 Mar 2021
82.74818800000041,13H 37M 23S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49043,Wed,Mar,03,2021,149,176,56,534,115,143,60,540,ECOV2-B00206,581,223,64,29850,223,215,64,29725,215,225,64,29359,225,301,67,29963,301,13.83,03 Mar 2021
83.32200400000033,13H 37M 24S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49044,Wed,Mar,03,2021,147,167,57,534,116,143,59,540,ECOV2-B00206,582,216,64,29852,216,213,63,29723,213,219,64,29358,219,301,68,29959,301,13.82,03 Mar 2021
83.82985300000031,13H 37M 25S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49045,Wed,Mar,03,2021,149,171,56,534,115,140,61,540,ECOV2-B00206,583,216,64,29847,216,214,63,29712,214,211,64,29361,211,301,67,29963,301,13.82,03 Mar 2021
84.3884990000004,13H 37M 26S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49046,Wed,Mar,03,2021,155,161,56,534,120,142,62,540,ECOV2-B00206,584,209,63,29845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
