pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
209.99927300000033,9H 29M 12S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34152,Thu,Mar,04,2021,50,91,56,535,58,50,54,ECOV2-B00206,1043,64,51,29183,64,110,53,29245,110,59,50,28420,59,329,70,29316,329,13.84,04 Mar 2021
210.5648940000004,9H 29M 13S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34153,Thu,Mar,04,2021,49,96,57,535,50,52,55,ECOV2-B00206,1044,65,51,29192,65,117,54,29250,117,59,50,28433,59,327,70,29307,327,13.83,04 Mar 2021
211.2591280000005,9H 29M 14S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34154,Thu,Mar,04,2021,46,101,57,535,48,53,53,ECOV2-B00206,1045,63,50,29185,63,140,56,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
211.98961600000047,9H 29M 15S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34155,Thu,Mar,04,2021,49,96,57,535,62,55,51,ECOV2-B00206,1046,63,50,29180,63,112,53,29228,112,61,50,28436,61,328,71,29325,328,13.83,04 Mar 2021
212.54234100000028,9H 29M 16S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34156,Thu,Mar,04,2021,50,89,56,535,66,53,52,ECOV2-B00206,1047,61,50,29185,61,109,53,29235,109,61,50,28419,61,329,71,29320,329,13.83,04 Mar 2021
213.02013000000034,9H 29M 17S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34157,Thu,Mar,04,2021,50,120,56,535,63,50,55,ECOV2-B00206,1048,61,50,29192,61,134,56,29241,134,58,49,28419,58,329,71,29314,329,13.82,04 Mar 2021
213.67933800000048,9H 29M 18S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34158,Thu,Mar,04,2021,50,93,57,535,66,51,53,ECOV2-B00206,1049,63,50,29182,63,115,55,29237,115,58,50,28426,58,328,71,29324,328,13.83,04 Mar 2021
215.05305400000037,9H 29M 20S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34160,Thu,Mar,04,2021,50,94,57,535,63,56,50,ECOV2-B00206,1051,62,51,29186,62,115,55,29232,115,61,50,28435,61,329,72,29313,329,13.83,04 Mar 2021
215.6390370000004,9H 29M 21S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34161,Thu,Mar,04,2021,50,98,57,535,64,55,53,ECOV2-B00206,1052,63,51,29186,63,111,54,29246,111,61,50,28436,61,328,71,29307,328,13.83,04 Mar 2021
216.25375100000042,9H 29M 22S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34162,Thu,Mar,04,2021,51,93,56,535,NA,NA,NA,ECOV2-B00206,1053,63,51,29181,63,108,53,29241,108,58,50,28425,58,328,70,29314,328,13.83,04 Mar 2021
216.90611200000043,9H 29M 23S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34163,Thu,Mar,04,2021,51,90,56,535,64,54,55,ECOV2-B00206,1054,63,50,29189,63,110,52,29243,110,59,50,28422,59,327,71,29306,327,13.83,04 Mar 2021
217.52444900000037,9H 29M 24S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34164,Thu,Mar,04,2021,50,90,56,535,61,53,56,ECOV2-B00206,1055,63,51,29192,63,110,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
