pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
14.73,8H 23M 12.4789999999994S,13.4836,4.497736,3.0116,2.4242,1.5248779,13.45859,13.4815,38.3628,28.9,4.8059,208.602,0,30192.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.72,8H 23M 13.4789999999994S,13.4839,4.497745,3.0135,2.4994,1.5245217,13.457905,13.4818,38.3626,28.8997,4.81,208.78,0,30193.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.571,8H 23M 14.4789999999994S,13.4855,4.497923,3.0146,2.4667,1.5246235,13.46338,13.4834,38.3627,28.8995,4.8069,208.644,0,30194.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.426,8H 23M 15.4789999999994S,13.4857,4.497929,3.0144,2.482,1.5247761,13.462696,13.4836,38.3627,28.8994,4.8053,208.577,0,30195.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.447,8H 23M 16.4789999999994S,13.4862,4.497987,3.0141,2.3989,1.52442,13.45859,13.4841,38.3627,28.8993,4.8041,208.525,0,30196.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.652,8H 23M 17.4789999999994S,13.4852,4.497895,3.0135,2.4431,1.5245217,13.461327,13.4831,38.3627,28.8996,4.8004,208.364,0,30197.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.8,8H 23M 18.4789999999994S,13.485,4.497888,3.0122,2.5651,1.52442,13.45859,13.4829,38.3628,28.8996,4.803,208.476,0,30198.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.731,8H 23M 19.4789999999994S,13.4851,4.497884,3.0141,2.5481,1.5243691,13.45859,13.483,38.3627,28.8996,4.8112,208.831,0,30199.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.547,8H 23M 20.4789999999994S,13.486,4.497973,3.0155,2.5281,1.5242165,13.462011,13.4839,38.3627,28.8994,4.8107,208.812,0,30200.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.46,8H 23M 21.4789999999994S,13.4863,4.497993,3.0157,2.5188,1.5240639,13.462696,13.4842,38.3627,28.8993,4.807,208.651,0,30201.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.483,8H 23M 22.4789999999994S,13.4854,4.497892,3.0148,2.5472,1.5242165,13.464749,13.4833,38.3626,28.8994,4.8036,208.503,0,30202.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.555,8H 23M 23.4789999999994S,13.485,4.497861,3.0136,2.6693,1.524013,13.46338,13.4829,38.3627,28.8995,4.8005,208.37,0,30203.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.733,8H 23M 24.4789999999994S,13.4853,4.497895,3.0125,2.6996000000000002,1.524013,13.46338,13.4832,38.3626,28.8994,4.7986,208.285,0,30204.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.826,8H 23M 25.4789999999994S,13.4844,4.497793,3.0113,2.5945,1.5242165,13.46338,13.4823,38.3626,28.8996,4.8001,208.349,0,30205.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.625,8H 23M 26.4789999999994S,13.4852,4.497878,3.0129,2.5031,1.5233516,13.464064,13.4831,38.3626,28.8994,4.8101,208.788,0,30206.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.355,8H 23M 27.4789999999994S,13.4853,4.497892,3.0157,2.4794,1.5239112,13.464749,13.4832,38.3628,28.8995,4.8145,208.976,0,30207.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.402,8H 23M 28.4789999999994S,13.4847,4.49782,3.0164,2.4618,1.5238095,13.465433,13.4826,38.3627,28.8996,4.8077,208.68,0,30208.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.686,8H 23M 29.4789999999994S,13.4841,4.497765,3.0144,2.4438,1.523606,13.466117,13.482,38.3626,28.8997,4.8014,208.407,0,30209.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.841,8H 23M 30.4789999999994S,13.484,4.497747,3.0137,2.4662,1.5231481,13.46338,13.4819,38.3625,28.8996,4.8048,208.556,0,30210.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.686,8H 23M 31.4789999999994S,13.485,4.497865,3.014,2.5238,1.5234025,13.465433,13.4829,38.3627,28.8996,4.8064,208.626,0,30211.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.449,8H 23M 32.4789999999994S,13.485,4.49785,3.0145,2.4288,1.5239621,13.466802,13.4829,38.3626,28.8995,4.8101,208.784,0,30212.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.457,8H 23M 33.4789999999994S,13.4856,4.49791,3.0164,2.3903,1.5234025,13.466117,13.4835,38.3626,28.8994,4.8138,208.946,0,30213.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.649,8H 23M 34.4789999999994S,13.4845,4.497832,3.0166,2.415,1.5233007,13.464064,13.4824,38.3628,28.8998,4.81,208.783,0,30214.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.711,8H 23M 35.4789999999994S,13.4836,4.497701,3.0165,2.5252,1.5233007,13.464749,13.4815,38.3624,28.8997,4.8074,208.667,0,30215.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.591,8H 23M 36.4789999999994S,13.4842,4.497784,3.0137,2.5407,1.5234534,13.465433,13.4821,38.3627,28.8998,4.793,208.043,0,30216.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
