pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,frame,frale_syn,sn,counter,counter_down,v_main,q_asummary,numerici_qa,hex_qa,beta700_wave,chl_lo_gain,chl_5_volt,chl_ltc,chl_raw,chl_micro_l,chl_hi_gain,chl_em_wave,chl_lo_gain_2,chl_5_volt_2,chl_ltc_2,chl_raw_2,chl_micro_l_2,chl_hi_gain_2,chl_em_wave_2,fdom_lo_gain,chl_5_volt_3,date,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
202.476,13H 31M 10.4789999999994S,13.8028,4.563973,2.3496,0.1569,1.7960928,13.781376,13.7729,38.5874,29.0118,3.4917,151.543,0,48670.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
201.849,13H 31M 11.4789999999994S,13.8016,4.563847,2.3501,0.1447,1.7953806,13.78206,13.7718,38.5877,29.0123,3.4961,151.733,0,48671.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
200.47,13H 31M 12.4789999999994S,13.8042,4.564025,2.3513,0.1477,1.7949227,13.78411,13.7745,38.5874,29.0115,3.4988,151.853,0,48672.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
199.292,13H 31M 13.4789999999994S,13.8085,4.56433,2.3522,0.1539,1.7943631,13.788893,13.779,38.5865,29.0098,3.4979,151.81,0,48673.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
198.778,13H 31M 14.4789999999994S,13.805,4.56399,2.3532,0.1466,1.7941087,13.787527,13.7756,38.5871,29.011,3.5052,152.128,0,48674.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
197.25,13H 31M 15.4789999999994S,13.8098,4.564125,2.3561,0.1369,1.7935491,13.79231,13.7806,38.5842,29.0076,3.5109,152.376,0,48675.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
195.539,13H 31M 16.4789999999994S,13.8066,4.563306,2.358,0.1338,1.7930403,13.792994,13.7777,38.5803,29.0053,3.5109,152.376,0,48676.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
194.645,13H 31M 17.4789999999994S,13.8074,4.563486,2.3588,0.1429,1.7920228,13.791627,13.7786,38.5817,29.0061,3.5105,152.359,0,48677.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
193.836,13H 31M 18.4789999999994S,13.8073,4.563412,2.3598,0.1381,1.7915141,13.787527,13.7786,38.5815,29.006,3.5135,152.49,0,48678.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
192.511,13H 31M 19.4789999999994S,13.8087,4.56347,2.3616,0.1408,1.7909544,13.791627,13.7803,38.5811,29.0054,3.5181,152.691,0,48679.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
