pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
151.593,9H 59M 11.4789999999994S,13.8675,4.569671,2.6308,0.1987,1.7494912,13.849025,13.8451,38.5993,29.0055,3.9954,173.405,0,35951.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
151.462,9H 59M 12.4789999999994S,13.8672,4.569634,2.6317,0.2189,1.7488298,13.850392,13.8448,38.5993,29.0055,4.0068,173.9,0,35952.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
151.035,9H 59M 13.4789999999994S,13.8679,4.569653,2.6349,0.2117,1.7486772,13.849025,13.8456,38.5989,29.0051,4.0148,174.246,0,35953.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.402,9H 59M 14.4789999999994S,13.8718,4.569936,2.6369,0.2091,1.7484228,13.851758,13.8495,38.598,29.0035,4.0081,173.958,0,35954.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.216,9H 59M 15.4789999999994S,13.8722,4.569988,2.6344,0.1972,1.7480667,13.849025,13.85,38.5982,29.0035,3.9963,173.443,0,35955.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.589,9H 59M 16.4789999999994S,13.8676,4.569673,2.6334,0.1924,1.7479649,13.850392,13.8453,38.5997,29.0057,4.0037,173.766,0,35956.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.555,9H 59M 17.4789999999994S,13.8684,4.569701,2.6348,0.2051,1.7480667,13.846976,13.8461,38.5991,29.0051,4.0084,173.971,0,35957.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.248,9H 59M 18.4789999999994S,13.8727,4.570069,2.6356,0.2105,1.7480158,13.852442,13.8505,38.5984,29.0036,4.0075,173.932,0,35958.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.252,9H 59M 19.4789999999994S,13.8734,4.570109,2.6354,0.205,1.7479141,13.857225,13.8511,38.5981,29.0032,4.0039,173.773,0,35959.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.503,9H 59M 20.4789999999994S,13.8729,4.570041,2.6351,0.2042,1.7482702,13.854492,13.8506,38.5979,29.0031,4.0067,173.897,0,35960.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.542,9H 59M 21.4789999999994S,13.8725,4.570022,2.636,0.2105,1.7476597,13.849025,13.8502,38.598,29.0034,4.0068,173.901,0,35961.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.318,9H 59M 22.4789999999994S,13.8737,4.57015,2.635,0.2039,1.7476597,13.858591,13.8514,38.5982,29.0032,4.0036,173.763,0,35962.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.227,9H 59M 23.4789999999994S,13.875,4.570277,2.6356,0.2103,1.7474562,13.859958,13.8527,38.5981,29.0029,4.0083,173.967,0,35963.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.413,9H 59M 24.4789999999994S,13.8744,4.570209,2.6361,0.2185,1.7470492,13.859274,13.8521,38.5979,29.0029,4.0065,173.885,0,35964.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.498,9H 59M 25.4789999999994S,13.8737,4.570139,2.6353,0.2152,1.7467439,13.860641,13.8514,38.598,29.0031,4.0054,173.838,0,35965.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.518,9H 59M 26.4789999999994S,13.8733,4.570089,2.6362,0.2082,1.7467439,13.860641,13.851,38.5979,29.0031,4.0104,174.057,0,35966.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.479,9H 59M 27.4789999999994S,13.8739,4.570162,2.6369,0.208,1.7468457,13.859958,13.8516,38.598,29.003,4.0094,174.015,0,35967.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.335,9H 59M 28.4789999999994S,13.8752,4.570297,2.6364,0.2114,1.7465404,13.859274,13.8529,38.5981,29.0028,4.0061,173.869,0,35968.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.343,9H 59M 29.4789999999994S,13.8751,4.570297,2.6364,0.2017,1.7462861,13.861324,13.8528,38.5982,29.0029,4.0086,173.978,0,35969.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.474,9H 59M 30.4789999999994S,13.8744,4.57023,2.6371000000000002,0.2016,1.7462352,13.862007,13.8521,38.5982,29.0031,4.0106,174.065,0,35970.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.411,9H 59M 31.4789999999994S,13.8746,4.570261,2.6369,0.2092,1.7461843,13.860641,13.8523,38.5983,29.0031,4.0064,173.882,0,35971.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.332,9H 59M 32.4789999999994S,13.875,4.570284,2.6362,0.2147,1.7461335,13.860641,13.8526,38.5982,29.0029,4.0074,173.926,0,35972.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.447,9H 59M 33.4789999999994S,13.8744,4.57022,2.6371000000000002,0.2114,1.7459808,13.862007,13.8521,38.5981,29.003,4.0139,174.21,0,35973.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.542,9H 59M 34.4789999999994S,13.874,4.570172,2.6384,0.2022,1.7462352,13.861324,13.8517,38.598,29.003,4.0099,174.033,0,35974.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.474,9H 59M 35.4789999999994S,13.8742,4.570204,2.6361,0.2032,1.7462352,13.860641,13.8519,38.5981,29.003,3.999,173.563,0,35975.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.406,9H 59M 36.4789999999994S,13.8749,4.570288,2.6345,0.203,1.7461843,13.861324,13.8526,38.5982,29.003,4.004,173.778,0,35976.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.423,9H 59M 37.4789999999994S,13.8747,4.570261,2.6357,0.1968,1.7461334,13.860641,13.8524,38.5982,29.003,4.0076,173.933,0,35977.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.375,9H 59M 38.4789999999994S,13.8751,4.570316,2.6354,0.1992,1.7460317,13.861324,13.8529,38.5983,29.003,4.0079,173.946,0,35978.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
