bouss,ctd_number,way,depth,year,pres,temp,conductivity,fluo_chl,fluo_flbb,bb700,cdom,fluo_440,fluo_470,fluo_532,month,f440_f470,f532_f470,prof_id,date,chl_c1_c2,chl_c3,peri,but,fuco,neox,prasi,viola,hex,diad,allo,diat,zea,lutein,dv_chlb,chlb,t_chlb,dv_chla,chla,t_chla,chla_470,chla_440,depth_id,campagne_id,pico_pk,pico_e,syn,proch,pico_e1,pico_e2,pico_e3,nano_pk,nano_e,crypto_like,nano_e1,nano_e2,nsk_num,ct,poc,pic
228,3,asc,20,2021,19.602309541666667,13.409841666666669,4.490911,2.120686111111111,431.4242424242424,260.8125,87.19354838709677,307.59375,378.5,80.80645161290323,NA,0.8126651254953765,0.21349128563514724,B_228_3_asc,2021-03-03,0.392,0.2326,0.1058,0.1162,0.5846,0.0257,0.0559,0,0.7738,0.1352,0.1556,0,0.0341,0.0072,0.179,0,0.179,0,2.822,2.822,2.6495,2.15315625,dcm,B_228,58.0640151515152,11.5294191919192,25.7901936026936,19.7234848484849,8.13526936026936,3.07878787878788,0.245875420875421,5.90635521885522,4.80953703703704,1.00488215488216,3.16537878787879,1.64736531986532,2,169.363636363636,161.7,7.66363636363636
228,3,asc,50,2021,49.70035364748201,13.414866666666668,4.496300560606061,1.3225742424242424,283.2307692307692,210,56.80952380952381,215.55882352941177,265.7647058823529,73.14925373134328,NA,0.8110889774236388,0.2752406625570686,B_228_3_asc,2021-03-03,0.2221,0.1808,0.059,0.0722,0.4337,0.0159,0.0424,0,0.4169,0.0751,0.0711,0,0.025,0.0051,0.1004,0,0.1004,0,1.8413,1.8413,1.8603529411764703,1.5089117647058825,sdcm,B_228,51.6017676767677,12.7320707070707,25.2717171717172,12.4541245791246,9.66397306397307,3.01464646464647,0.0534511784511785,3.56804386901377,2.8946263622796,0.605006839383402,2.36016802360168,0.537665088709984,1,96.1963636363636,91.0157894736842,5.18057416267941
229,1,asc,5,2021,5.306305547619041,13.937406451612905,4.547231951612903,0.3861032258064516,82.42105263157895,175.2280701754386,55.607142857142854,67.31666666666666,90.66666666666669,59.36666666666667,NA,0.7424632352941176,0.6547794117647059,B_229_1_asc,2021-04-09,0.0506,0.0204,0,0.0367,0.0228,0.0051,0.0133,0.0019,0.058,0.0254,0.0461,0.0079,0.3057,0,0,NA,0.0425,0,0.7444,0.7444,0.6346666666666668,0.4712166666666667,surf,B_229,396.484806397306,7.3388468013468,388.194528619529,0.331397306397306,5.68720538720539,1.27213804713805,0.267255892255892,1.53710218203769,1.00905734342391,0.385878920525456,0.975920926425876,0.0149648334829817,3,81.0218181818182,76.1418181818182,4.88
229,1,asc,40,2021,40.27698438095232,13.886858333333333,4.543554166666667,0.5574166666666667,116.77777777777776,173,57.111111111111114,103.75,133.875,61.75,NA,0.7749766573295985,0.4612511671335201,B_229_1_asc,2021-04-09,0.0507,0.0247,0,0.0422,0.0294,0.0061,0.0165,0.0051,0.0646,0.0118,0.0307,0.0013,0.286,0,0,NA,0.0524,0,0.733,0.733,0.937125,0.7262500000000001,dcm,B_229,356.239683188709,7.44737059079888,348.065739857344,0.293834564199382,5.64696607924994,1.37300878180438,0.299177010821189,1.35966201359662,0.934233176008998,0.283262919499296,0.901096759010968,0.0203094168697608,2,73.5527272727273,76.4909090909091,0
229,1,asc,60,2021,60.053026109243696,13.517174137931034,4.50996975862069,0.32496379310344825,75.38461538461539,101.03846153846152,56.03846153846154,78.98181818181818,86.01818181818182,63.69090909090909,NA,0.9181991122384274,0.740435425914183,B_229_1_asc,2021-04-09,0.0184,0.0192,0.0012,0.0311,0.0297,0.0027,0.0071,0.0011,0.0339,0.0039,0.0049,0,0.0125,0,0,NA,0.0251,0,0.187,0.187,0.6021272727272727,0.5528727272727273,sdcm,B_229,13.5523567341749,1.95435877254059,11.2081941627396,0.192232010413829,1.25484784575694,0.688831370649553,0.0053397780670508,0.486308462213281,0.382633910928252,0.0320642942118647,0.353776046137574,0.0128257176847459,1,13.7381818181818,18.7636363636364,0
231,1,asc,5,2021,5.286144702842377,19.805197027027027,5.157077981081081,0.21806513513513515,49.5,151.5,50.125,56,53.13333333333333,54.2,NA,1.053952321204517,1.0200752823086576,B_231_1_asc,2021-06-11,0.0107,0.0047,0.0039,0.0063,0.0074,0,0,0.0012,0.0301,0.0234,0.0035,0.0047,0.0101,4e-4,0,NA,0.0044,0,0.1062,0.1062,0.37193333333333334,0.392,surf,B_231,9.78156565656566,0.833838383838384,8.70719696969697,0.133627946127946,0.726936026936027,0.0213804713804714,0.0106902356902357,1.13779991052718,1.03164512255421,0.0209319300228391,0.8178404087495,0.183901956629229,3,40.2884848484848,33.4351515151515,6.85333333333332
231,1,asc,53,2021,52.94123853211009,13.65059523809524,4.529305619047619,1.8213161904761903,439.25,218.75,57.5,410.5,545.25,97.5,NA,0.7528656579550664,0.17881705639614856,B_231_1_asc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81675,2.8735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.35873015873,106.29696969697,37.0617604617605
231,1,asc,65,2021,64.98458181818182,13.676890566037736,4.535865301886792,0.28390377358490565,72,105.5,56.5,69,75.5,53,NA,0.913907284768212,0.7019867549668874,B_231_1_asc,2021-06-11,0.3984,0.3447,0.0138,0.3793,0.5726,0.0233,0.0284,0.0135,0.609,0.0631,0.0396,0,0.0619,0.006,0,NA,0.2124,0,2.268,2.268,0.5285,0.483,sdcm,B_231,6.41841323659506,1.91698032607124,4.17570644843372,0.272328681419591,0.576696031241486,1.22280917735463,0.122814895542168,0.657449494949495,0.53023569023569,0.0566582491582492,0.472508417508418,0.0342087542087542,1,50.4957575757576,47.7369696969697,2.75878787878789
232,1,asc,5,2021,4.924217999999877,22.696566666666666,5.496007,0.23523333333333332,82,170,55,72,83,56,7,0.8674698795180723,0.6746987951807228,B_232_1_asc,2021-07-12,0.0091,0.0034,0.006,0.0079,0.0043,0,0,0.0014,0.0276,0.0254,0,0.0068,0.0155,0.0013,0,NA,0.0067,0,0.1056,0.1056,0.581,0.504,surf,B_232,16.9275841750842,1.06228956228956,15.0951346801347,0.0637373737373738,0.663930976430977,0.366489898989899,0.0106228956228956,1.20876464542098,1.12272779456061,0.0308033169746998,1.02394474357278,0.0860368508603685,3,41.9672727272727,26.6872727272727,15.28
232,1,asc,42,2021,42.17301573953488,13.757973394495412,4.534460972477064,2.0751091743119265,467.2830188679245,221.9811320754717,57.18867924528302,335.14150943396226,465.8962264150944,84.56603773584905,7,0.7193479801559177,0.18151260504201677,B_232_1_asc,2021-07-12,0.4063,0.3243,0.0435,0.2353,0.2552,0.0498,0.0514,0.0181,1.5421,0.0914,0.0474,0,0.0792,0.0177,0,NA,0.3349,0,2.7492,2.7492,3.261273584905661,2.345990566037736,dcm,B_232,124.87744949495,4.65813973063973,89.8006481481482,28.952702020202,3.7551936026936,0.674553872053872,0.175277777777778,9.49485691161524,8.77257223772572,0.353707053537071,7.30463485637968,1.26612254599456,2,180.5,137.497076023392,43.0029239766082
