date,bouss,depth,fluo_440,fluo_470,fluo_532,f440_f470,f532_f470,bb700,cdom,chl_c1_c2,chl_c3,peri,but,fuco,neox,prasi,viola,hex,diad,allo,diat,zea,lutein,dv_chlb,chlb,t_chlb,dv_chla,chla,t_chla,sumpig,cp,CA1,CA2,CA3,f532_f440,cluster
2021-02-18,227,80,61.44444444444444,54.111111111111114,50.888888888888886,1.135523613963039,0.9404517453798766,122.625,57.125,0.0037,0.0036,0,0.0043,0.0076,7e-4,0.0011,3e-4,0.0082,0.0013,0.0011,0,0.0025,0,9e-4,0.0054,0.0063,0.0017,0.0372,0.0388,0.0795,0.090185,-0.312209789588356,-0.15517158264677036,-0.1569178789244957,0.8282097649186256,1
2021-02-18,227,70,71.75,69.57142857142857,54.67857142857143,1.0313141683778235,0.7859342915811088,125.32,56.84,0.0161,0.0129,9e-4,0.0141,0.0245,0.0027,0.006,0.0013,0.0294,0.004,0.0045,3e-4,0.0072,0,0,0.0242,0.0242,0.0069,0.1425,0.1494,0.2975,0.10173,-0.10450828929290579,-0.04053447216772464,-0.7055775521495862,0.7620706819313091,2
2021-02-18,227,60,81.07317073170732,85.3170731707317,55.65853658536585,0.9502572898799316,0.6523727844482562,131.0487804878049,56.225,0.0336,0.0218,0.0014,0.0253,0.0355,0.004,0.0088,0.0019,0.0602,0.0073,0.0122,7e-4,0.0118,0,0,0.0357,0.0357,0.0114,0.257,0.2684,0.5286000000000001,0.110825,-0.0630762319762733,-0.013096179647684848,-0.7865650430738377,0.6865222623345366,2
2021-02-18,227,50,90.71739130434784,92.15217391304348,66.15555555555555,0.9844302901627742,0.7178946816597205,128.525,56.51282051282051,0.0344,0.0216,0.0017,0.0238,0.0356,0.0046,0.0093,0.0022,0.0617,0.0075,0.0134,8e-4,0.0112,0,0,0.0369,0.0369,0.0102,0.2573,0.2675,0.5322,0.10789,-0.022038810752163282,-0.014247050681737927,-0.7973428072804426,0.7292488750432674,2
2021-02-18,227,40,81.8076923076923,83.61538461538461,56.03846153846154,0.9783808647654094,0.6701931922723091,143.65384615384616,74.76923076923077,0.0312,0.0189,0.0022,0.0215,0.0384,0.0042,0.0096,0.0023,0.0519,0.007,0.011,6e-4,0.0119,0,0,0.0399,0.0399,0.0097,0.2474,0.2571,0.5077,0.108565,-0.022821484402551,0.012204205922323458,-0.6682731234053266,0.685002350728726,2
2021-02-18,227,30,92.66666666666669,96.77777777777776,56.592592592592595,0.9575200918484502,0.5847684653654803,139.4,56.48,0.0389,0.0231,0.0028,0.0274,0.0486,0.0059,0.0137,0.0038,0.0643,0.0098,0.0126,9e-4,0.015,0,0,0.0511,0.0511,0.0129,0.3133,0.3262,0.6441,0.12622,-0.03861514566303545,0.01293720944752703,-0.6842522650625713,0.6107114308553157,2
2021-02-18,227,20,121.69444444444444,136.36111111111111,60,0.8924424526380118,0.44000814829904256,155.75757575757575,64.33333333333333,0.0809,0.0421,0.0091,0.0486,0.0665,0.0103,0.0255,0.0086,0.1279,0.0232,0.03,0.0027,0.0238,0,0,0.0903,0.0903,0.02,0.5767,0.5967,1.1862,0.153855,-6.638074896905445e-4,0.043126706340216925,-0.8784129527744223,0.4930381191508788,2
2021-02-18,227,10,119.04761904761904,126.76190476190476,59.38095238095238,0.9391435011269722,0.4684447783621337,153.8,56.2,0.0957,0.0415,0.02,0.0508,0.0636,0.0094,0.0239,0.0106,0.1423,0.0461,0.0502,0.0068,0.0234,0.0024,0,0.0836,0.0836,0.0175,0.6681,0.6856,1.3559,0.184275,0.1451760577109795,0.11394332288754605,-0.7688312900907781,0.4988,2
2021-02-18,227,5,103,109.66666666666669,60.333333333333336,0.939209726443769,0.5501519756838906,136,58.333333333333336,0.0982,0.0416,0.0228,0.0546,0.0654,0.0099,0.0239,0.0113,0.1482,0.0567,0.0576,0.0095,0.0235,0.0034,0,0.0763,0.0763,0.0162,0.6983,0.7146,1.4175,0.184215,0.19998291523509226,0.13858364916734112,-0.7077050833921052,0.5857605177993528,2
2021-03-03,228,80,123.97142857142858,145.8190476190476,59.26923076923077,0.850173078179087,0.4064573986525525,168.31632653061226,66.16326530612245,0.125,0.0837,0.0198,0.0437,0.1899,0,0.0276,0.0064,0.26,0.039,0.0393,0.0036,0.0299,0,0,0.0769,0.0769,0,0.9267,0.9267,1.8715,0.196622223333333,0.5010963965045154,-0.13252544262360588,-0.17056026662913595,0.47808782597904514,2
