pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
385.782,11H 27M 11.4789999999994S,13.6041,4.555428,2.4292,0.1933,1.81512,13.582421,13.5472,38.6242,29.0886,3.7122,161.101,0,41231.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
385.275,11H 27M 12.4789999999994S,13.6034,4.555324,2.4291,0.1811,1.8147639,13.582421,13.5465,38.6242,29.0888,3.7188,161.385,0,41232.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
384.756,11H 27M 13.4789999999994S,13.6037,4.55532,2.4299,0.1715,1.8149674,13.582421,13.5469,38.6241,29.0886,3.7171,161.314,0,41233.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
383.972,11H 27M 14.4789999999994S,13.6045,4.555393,2.4289,0.1819,1.8149674,13.584473,13.5479,38.6243,29.0886,3.7147,161.211,0,41234.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
383.321,11H 27M 15.4789999999994S,13.6053,4.55548,2.4299,0.1827,1.8147639,13.583105,13.5488,38.6246,29.0886,3.723,161.568,0,41235.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
383.034,11H 27M 16.4789999999994S,13.6048,4.555409,2.4313,0.1873,1.8145604,13.583105,13.5483,38.6246,29.0887,3.7217,161.511,0,41236.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
382.339,11H 27M 17.4789999999994S,13.6062,4.555541,2.431,0.1886,1.8149165,13.583105,13.5499,38.6247,29.0885,3.7183,161.364,0,41237.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
381.456,11H 27M 18.4789999999994S,13.6089,4.555842,2.4308,0.1937,1.814713,13.585157,13.5526,38.6253,29.0884,3.7173,161.321,0,41238.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
381.012,11H 27M 19.4789999999994S,13.6085,4.555806,2.4306,0.1919,1.814713,13.588577,13.5523,38.6255,29.0885,3.7155,161.245,0,41239.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
380.554,11H 27M 20.4789999999994S,13.6088,4.555818,2.43,0.1846,1.8148657,13.591996,13.5527,38.6256,29.0885,3.7153,161.237,0,41240.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
