pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
168.782,13H 56M 26.4789999999994S,13.8327,4.571209,2.5307,0.1745,1.7842389,13.817594,13.8077,38.6412,29.046,3.7989,164.871,0,50186.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
169.292,13H 56M 27.4789999999994S,13.8331,4.571269,2.5285,0.1742,1.7847477,13.816228,13.808,38.6412,29.0459,3.7935,164.636,0,50187.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
170.081,13H 56M 28.4789999999994S,13.8332,4.571361,2.5272,0.1686,1.7850529,13.822377,13.8081,38.6415,29.0462,3.8009,164.958,0,50188.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
170.653,13H 56M 29.4789999999994S,13.8332,4.5714,2.5295,0.1754,1.7851038,13.827844,13.8079,38.6417,29.0463,3.8083,165.279,0,50189.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
171.127,13H 56M 30.4789999999994S,13.834,4.571538,2.5293,0.1691,1.7857652,13.824427,13.8087,38.6419,29.0464,3.8007,164.949,0,50190.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
171.857,13H 56M 31.4789999999994S,13.8357,4.571843,2.5285,0.1618,1.7857652,13.825111,13.8103,38.6428,29.0467,3.7993,164.889,0,50191.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
172.502,13H 56M 32.4789999999994S,13.8362,4.571971,2.5279,0.1599,1.7858669,13.827844,13.8107,38.6432,29.0469,3.7969,164.784,0,50192.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
172.967,13H 56M 33.4789999999994S,13.8364,4.572032,2.5259,0.1626,1.7863757,13.827844,13.8109,38.6434,29.047,3.7898,164.474,0,50193.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
173.591,13H 56M 34.4789999999994S,13.8362,4.57209,2.5241,0.1544,1.7863248,13.827844,13.8105,38.6439,29.0475,3.7925,164.59,0,50194.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
174.18,13H 56M 35.4789999999994S,13.8354,4.572118,2.525,0.1744,1.7865792,13.828527,13.8096,38.6447,29.0482,3.7965,164.765,0,50195.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
174.699,13H 56M 36.4789999999994S,13.8358,4.572218,2.5245,0.1819,1.7867827,13.828527,13.8099,38.645,29.0485,3.7948,164.691,0,50196.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
175.36,13H 56M 37.4789999999994S,13.8368,4.572415,2.525,0.1865,1.7871897,13.828527,13.8108,38.6456,29.0487,3.7967,164.776,0,50197.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
