pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,fluo_flbb,bb700,cdom,echov1,date,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
42.394,11H 17M 57.4789999999994S,13.757,4.534374,3.1807,2.1092,1.5911172,13.746519,13.7508,38.4246,28.8904,5.0586,219.576,0,40677.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.406,11H 17M 58.4789999999994S,13.7566,4.53436,3.1829,2.0932,1.591219,13.747202,13.7504,38.4249,28.8907,5.0626,219.746,0,40678.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.923,11H 17M 59.4789999999994S,13.7598,4.534593,3.1808,2.0884,1.5914734,13.746519,13.7536,38.4241,28.8894,5.0466,219.053,0,40679.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.902,11H 18M 0.47899999999936S,13.7595,4.534587,3.1783,2.087,1.5913716,13.747202,13.7534,38.4243,28.8896,5.0453,218.996,0,40680.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.308,11H 18M 1.47899999999936S,13.7573,4.534412,3.177,2.1019,1.591626,13.747202,13.7511,38.4247,28.8904,5.047,219.07,0,40681.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.273,11H 18M 2.47899999999936S,13.7566,4.534353,3.1772,2.111,1.5917786,13.746519,13.7504,38.4248,28.8906,5.054,219.375,0,40682.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.088,11H 18M 3.47899999999936S,13.7583,4.534496,3.1798,2.0968,1.5919821,13.747202,13.7521,38.4246,28.8901,5.0594,219.608,0,40683.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.174,11H 18M 4.47899999999936S,13.7587,4.534522,3.1801,2.0943,1.592033,13.749936,13.7525,38.4244,28.8898,5.0569,219.502,0,40684.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.341,11H 18M 5.47899999999936S,13.7571,4.534397,3.1814,2.0996,1.591626,13.747203,13.7509,38.4247,28.8904,5.0596,219.618,0,40685.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.092,11H 18M 6.47899999999936S,13.7577,4.534441,3.1807,2.1002,1.5918804,13.747203,13.7515,38.4246,28.8903,5.0515,219.266,0,40686.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.908,11H 18M 7.47899999999936S,13.759,4.534537,3.1789,2.105,1.5917277,13.746519,13.7529,38.4243,28.8898,5.0416,218.836,0,40687.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.27,11H 18M 8.47899999999936S,13.7572,4.534394,3.1742,2.1025,1.5918804,13.747886,13.751,38.4246,28.8904,5.037,218.633,0,40688.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.41,11H 18M 9.47899999999936S,13.7561,4.534299,3.1761,2.0909,1.5922365,13.746519,13.7499,38.4248,28.8908,5.0577,219.535,0,40689.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.139,11H 18M 10.4789999999994S,13.758,4.534485,3.1792,2.0971,1.5920839,13.74857,13.7518,38.4248,28.8903,5.06,219.635,0,40690.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.049,11H 18M 11.4789999999994S,13.7594,4.534573,3.1806,2.1101,1.5917277,13.74857,13.7532,38.4242,28.8895,5.0569,219.5,0,40691.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
