date	lon	lat	pressure	Wt	Wpt	sal	gamma	oxygen.1	oxygen.2	fluo.r	c
20210514161700	7.90661666666667	43.3753333333333	72	13.5592	13.5487	38.5038	28.995	3.8585	167.466	0.2256	0.061
20210514161700	7.90661666666667	43.3753333333333	73	13.5644	13.5538	38.5078	28.997	3.8348	166.438	0.2248	0.0605
20210514161700	7.90661666666667	43.3753333333333	74	13.5713	13.5605	38.5122	28.999	3.8222	165.887	0.2029	0.0601
20210514161700	7.90661666666667	43.3753333333333	75	13.5831	13.5722	38.5166	28.9999	3.7978	164.827	0.2028	0.0597
20210514161700	7.90661666666667	43.3753333333333	76	13.6037	13.5927	38.5238	29.0011	3.7727	163.74	0.212	0.0595
20210514161700	7.90661666666667	43.3753333333333	77	13.6074	13.5962	38.525	29.0013	3.7652	163.417	0.2055	0.0593
20210514161700	7.90661666666667	43.3753333333333	78	13.6084	13.597	38.5256	29.0016	3.7451	162.541	0.2054	0.0588
20210514161700	7.90661666666667	43.3753333333333	79	13.6252	13.6137	38.5341	29.0046	3.7096	160.999	0.1925	0.0586
20210514161700	7.90661666666667	43.3753333333333	80	13.6453	13.6336	38.5418	29.0063	3.6947	160.353	0.1932	0.0594
20210514161700	7.90661666666667	43.3753333333333	81	13.6483	13.6365	38.5426	29.0063	3.6813	159.775	0.2028	0.0588
20210514161700	7.90661666666667	43.3753333333333	82	13.6492	13.6373	38.5426	29.0062	3.6729	159.407	0.1881	0.0582
20210514161700	7.90661666666667	43.3753333333333	83	13.651	13.6388	38.5436	29.0066	3.6688	159.228	0.19	0.0584
20210514161700	7.90661666666667	43.3753333333333	84	13.6559	13.6436	38.5454	29.0069	3.6629	158.975	0.1992	0.0584
20210514161700	7.90661666666667	43.3753333333333	85	13.6603	13.6478	38.5469	29.0073	3.6481	158.331	0.1938	0.0582
20210514161700	7.90661666666667	43.3753333333333	86	13.6612	13.6486	38.5488	29.0085	3.6387	157.925	0.1951	0.0582
20210514161700	7.90661666666667	43.3753333333333	87	13.6734	13.6607	38.5539	29.0099	3.6267	157.403	0.1971	0.058
20210514161700	7.90661666666667	43.3753333333333	88	13.6791	13.6662	38.5561	29.0104	3.6049	156.454	0.1837	0.0577
20210514161700	7.90661666666667	43.3753333333333	89	13.6947	13.6816	38.5641	29.0133	3.5908	155.842	0.1887	0.0575
